Date,Countries,Impression,Clicks,Cost,Avg. CPC,Conversions,View Through
Apr-12,BRITISH VIRGIN ISLANDS | Search,0,0,0,0,0,0
Apr-12,GHANA| Content #,1274924,3698,392.06,0.11,356,286
Apr-12,MOZAMBIQUE | Content,139604,178,34.83,0.2,18,15
Apr-12,SWEDEN| Search,0,0,0,0,0,0
Apr-12,BANGLADESH | Search,0,0,0,0,0,0
Apr-12,BURUNDI| (Sales) Content,0,0,0,0,0,0
Apr-12,KIRIBATI | Search,0,0,0,0,0,0
Apr-12,FIJI| Search,0,0,0,0,0,0
Apr-12,ETHIOPIA | Search,0,0,0,0,0,0
Apr-12,Congo-Search,0,0,0,0,0,0
Apr-12,CONGO-Search,0,0,0,0,0,0
Apr-12,IRELAND| Search,0,0,0,0,0,0
Apr-12,PHILIPPINES| Content #,355466,433,30.48,0.07,20,19
Apr-12,PERU| Search,0,0,0,0,0,0
Apr-12,KYRGYZSTAN | Search,0,0,0,0,0,0
Apr-12,PERU| Content,125877,198,7.43,0.04,0,0
Apr-12,SOUTH AFRICA| Search,0,0,0,0,0,0
Apr-12,CONGO| Search,0,0,0,0,0,0
Apr-12,UAE | Search,0,0,0,0,0,0
Apr-12,UGANDA | Search,0,0,0,0,0,0
Apr-12,SWAZILAND| Content,0,0,0,0,0,0
Apr-12,FRANCE| Content,34044,28,2.43,0.09,0,0
Apr-12,MONGOLIA| Search,221,24,2.48,0.1,0,0
Apr-12,FIJI| Content,46733,68,8.21,0.12,5,5
Apr-12,GUYANA| Content,8607,8,0.59,0.07,0,0
Apr-12,DURBAN| Content,4437,2,0.72,0.36,2,1
Apr-12,AUSTRALIA| Content #,3419,1,0.29,0.29,0,0
Apr-12,CHILE| Search,2421,60,14.24,0.24,0,0
Apr-12,TANZANIA | Content (tablet),0,0,0,0,0,0
Apr-12,DOMINICAN REPUBLIC| Search,0,0,0,0,0,0
Apr-12,VIRGIN ISLAND| Content #,25991,55,5.72,0.1,0,0
Apr-12,Mom recepies,0,0,0,0,0,0
Apr-12,NICARAGUA| Search,0,0,0,0,0,0
Apr-12,TANZANIA | Content (mobile),0,0,0,0,0,0
Apr-12,HONDURAS| Search,0,0,0,0,0,0
Apr-12,MICRONESIA| Content #,12323,28,4.51,0.16,2,2
Apr-12,Hong-Kong-Search,0,0,0,0,0,0
Apr-12,KUWAIT| Search,0,0,0,0,0,0
Apr-12,BOTSWANA| (Sales)Content,0,0,0,0,0,0
Apr-12,AUSTRALIA| Search,0,0,0,0,0,0
Apr-12,ARMENIA| Search,0,0,0,0,0,0
Apr-12,JAPAN| Content,0,0,0,0,0,0
Apr-12,CHILE| Content,293553,314,26.43,0.08,0,0
Apr-12,ANGOLA| Search,0,0,0,0,0,0
Apr-12,CONGO| Content,130065,286,30.37,0.11,7,7
Apr-12,BENIN | Search (for Germany),0,0,0,0,0,0
Apr-12,MALTA | Search,0,0,0,0,0,0
Apr-12,GERMANY| Content #,214466,217,27.75,0.13,13,7
Apr-12,TRINIDAD| Search,0,0,0,0,0,0
Apr-12,GUATEMALA | Search,0,0,0,0,0,0
Apr-12,ZIMBABWE | Content (mobile),0,0,0,0,0,0
Apr-12,ANGUILLA| Content #,125693,59,6.32,0.11,0,0
Apr-12,STVINCENT| Search,0,0,0,0,0,0
Apr-12,MALAWI | Search,0,0,0,0,0,0
Apr-12,STKITTS| Content,5608,5,0.42,0.08,0,0
Apr-12,NEW ZEALAND| Content #,37538,56,14.87,0.27,3,3
Apr-12,BENIN | Search,0,0,0,0,0,0
Apr-12,SOLOMON ISLANDS | Search,0,0,0,0,0,0
Apr-12,DURBAN| Search,0,0,0,0,0,0
Apr-12,NAMIBIA | Search,0,0,0,0,0,0
Apr-12,THAILAND| Search,0,0,0,0,0,0
Apr-12,STLUCIA| Search,0,0,0,0,0,0
Apr-12,Chile-(Search),0,0,0,0,0,0
Apr-12,Keywords-For-Content,0,0,0,0,0,0
Apr-12,LESOTHO| (Sales) Content,0,0,0,0,0,0
Apr-12,Pre-Owned-Combination,0,0,0,0,0,0
Apr-12,KENYA| Search,0,0,0,0,0,0
Apr-12,MALTA| Content,288940,140,10.18,0.07,8,8
Apr-12,MEXICO | Search,0,0,0,0,0,0
Apr-12,TOGO | Search (for Germany),0,0,0,0,0,0
Apr-12,UGANDA| Search,2349,40,12.07,0.3,0,0
Apr-12,TURKS AND CAICOS ISLAND| Search,0,0,0,0,0,0
Apr-12,MAURITIUS| Search,0,0,0,0,0,0
Apr-12,ZIMBABWE | Search,0,0,0,0,0,0
Apr-12,COSTA RICA| Search,0,0,0,0,0,0
Apr-12,TURKMENISTAN| Search,0,0,0,0,0,0
Apr-12,VIRGIN ISLAND| Search,0,0,0,0,0,0
Apr-12,BARBADOS | Search,0,0,0,0,0,0
Apr-12,THAILAND| Content,999081,1233,68.08,0.06,12,11
Apr-12,BARBADOS| Search,0,0,0,0,0,0
Apr-12,BANGLADESH| Search,0,0,0,0,0,0
Apr-12,Test 1,0,0,0,0,0,0
Apr-12,BOLIVIA| Content #,2940148,4359,361.26,0.08,332,273
Apr-12,EGYPT| Search,0,0,0,0,0,0
Apr-12,PAKISTAN| Search,0,0,0,0,0,0
Apr-12,TUNISIA| Content,213281,556,28.85,0.05,6,5
Apr-12,SURINAME| Content,26542,60,3.83,0.06,1,1
Apr-12,ANTIGUA| Search,0,0,0,0,0,0
Apr-12,BRITISH VIRGIN ISLANDS| Content #,2536948,4265,259.25,0.06,104,92
Apr-12,TAJIKISTAN| Content,87452,169,15.29,0.09,2,2
Apr-12,SRI LANKA| Content,3687422,4619,356.74,0.08,141,121
Apr-12,SIERRA LEONE | Search,0,0,0,0,0,0
Apr-12,SOUTH KOREA| Search,0,0,0,0,0,0
Apr-12,SINGAPORE| Search,0,0,0,0,0,0
Apr-12,MALTA| Search,0,0,0,0,0,0
Apr-12,Hong Kong| Content,0,0,0,0,0,0
Apr-12,KENYA| Search (Signups),0,0,0,0,0,0
Apr-12,DENMARK| Content,876,1,0.15,0.15,0,0
Apr-12,LESOTHO | Search,0,0,0,0,0,0
Apr-12,BOLIVIA| Search,0,0,0,0,0,0
Apr-12,RUSSIA | Search,0,0,0,0,0,0
Apr-12,TRINIDAD| Content,172776,168,8.13,0.05,0,0
Apr-12,RUSSIA| Search,0,0,0,0,0,0
Apr-12,GEORGIA | Search,0,0,0,0,0,0
Apr-12,EGYPT| Content,207778,414,30.41,0.07,29,20
Apr-12,STVINCENT| Content,31956,81,7.8,0.1,7,6
Apr-12,PARAGUAY| Search,0,0,0,0,0,0
Apr-12,BURUNDI-Search,0,0,0,0,0,0
