Date,Country Specific Keywords,Impression,Clicks,Cost,Avg.CPC,Conversion,View Through Conversion
12-Apr,KENYA | Search,0,0,0,0,0,0
12-Apr,SINGAPORE| Content,2114,4,0.39,0.1,0,0
12-Apr,PHILIPPINES | Search,0,0,0,0,0,0
12-Apr,RUSSIA| Content,1793062,2455,228.23,0.09,48,38
12-Apr,JAMAICA| Content,141448,334,18.88,0.06,0,0
12-Apr,KYRGYZSTAN| Search,0,0,0,0,0,0
12-Apr,SRI LANKA| Search,0,0,0,0,0,0
12-Apr,ZIMBABWE | Content,193453,236,26.17,0.11,0,0
12-Apr,MONGOLIA| Content,567495,1435,157.51,0.11,62,58
12-Apr,BURUNDI | Search,0,0,0,0,0,0
12-Apr,COTE DIVOIRE| Search,0,0,0,0,0,0
12-Apr,PANAMA| Search,0,0,0,0,0,0
12-Apr,SWAZILAND | Search,0,0,0,0,0,0
12-Apr,BARBADOS| Content,47672,68,4.67,0.07,1,1
12-Apr,LESOTHO| Content (Mark),0,0,0,0,0,0
12-Apr,STKITTS| Search,0,0,0,0,0,0
12-Apr,HAITI| Content #,0,0,0,0,0,0
12-Apr,CAYMAN | Search,0,0,0,0,0,0
12-Apr,MOZAMBIQUE| Search,0,0,0,0,0,0
12-Apr,PHILIPPINES| Search,0,0,0,0,0,0
12-Apr,FINLAND| Search,0,0,0,0,0,0
12-Apr,BRITISH VIRGIN ISLANDS | Search,0,0,0,0,0,0
12-Apr,GHANA| Content #,1274924,3698,392.06,0.11,356,286
12-Apr,MOZAMBIQUE | Content,139604,178,34.83,0.2,18,15
12-Apr,SWEDEN| Search,0,0,0,0,0,0
12-Apr,BANGLADESH | Search,0,0,0,0,0,0
12-Apr,BURUNDI| (Sales) Content,0,0,0,0,0,0
12-Apr,KIRIBATI | Search,0,0,0,0,0,0
12-Apr,FIJI| Search,0,0,0,0,0,0
12-Apr,ETHIOPIA | Search,0,0,0,0,0,0
12-Apr,Congo-Search,0,0,0,0,0,0
12-Apr,CONGO-Search,0,0,0,0,0,0
12-Apr,IRELAND| Search,0,0,0,0,0,0
12-Apr,PHILIPPINES| Content #,355466,433,30.48,0.07,20,19
12-Apr,PERU| Search,0,0,0,0,0,0
12-Apr,KYRGYZSTAN | Search,0,0,0,0,0,0
12-Apr,PERU| Content,125877,198,7.43,0.04,0,0
12-Apr,SOUTH AFRICA| Search,0,0,0,0,0,0
12-Apr,CONGO| Search,0,0,0,0,0,0
12-Apr,UAE | Search,0,0,0,0,0,0
12-Apr,UGANDA | Search,0,0,0,0,0,0
12-Apr,SWAZILAND| Content,0,0,0,0,0,0
12-Apr,FRANCE| Content,34044,28,2.43,0.09,0,0
12-Apr,MONGOLIA| Search,221,24,2.48,0.1,0,0
12-Apr,FIJI| Content,46733,68,8.21,0.12,5,5
12-Apr,GUYANA| Content,8607,8,0.59,0.07,0,0
12-Apr,DURBAN| Content,4437,2,0.72,0.36,2,1
12-Apr,AUSTRALIA| Content #,3419,1,0.29,0.29,0,0
12-Apr,CHILE| Search,2421,60,14.24,0.24,0,0
12-Apr,TANZANIA | Content (tablet),0,0,0,0,0,0
12-Apr,DOMINICAN REPUBLIC| Search,0,0,0,0,0,0
12-Apr,VIRGIN ISLAND| Content #,25991,55,5.72,0.1,0,0
12-Apr,Mom recepies,0,0,0,0,0,0
12-Apr,NICARAGUA| Search,0,0,0,0,0,0
12-Apr,TANZANIA | Content (mobile),0,0,0,0,0,0
12-Apr,HONDURAS| Search,0,0,0,0,0,0
12-Apr,MICRONESIA| Content #,12323,28,4.51,0.16,2,2
12-Apr,Hong-Kong-Search,0,0,0,0,0,0
12-Apr,KUWAIT| Search,0,0,0,0,0,0
12-Apr,BOTSWANA| (Sales)Content,0,0,0,0,0,0
12-Apr,AUSTRALIA| Search,0,0,0,0,0,0
12-Apr,ARMENIA| Search,0,0,0,0,0,0
12-Apr,JAPAN| Content,0,0,0,0,0,0
12-Apr,CHILE| Content,293553,314,26.43,0.08,0,0
12-Apr,ANGOLA| Search,0,0,0,0,0,0
12-Apr,CONGO| Content,130065,286,30.37,0.11,7,7
12-Apr,BENIN | Search (for Germany),0,0,0,0,0,0
12-Apr,MALTA | Search,0,0,0,0,0,0
12-Apr,GERMANY| Content #,214466,217,27.75,0.13,13,7
12-Apr,TRINIDAD| Search,0,0,0,0,0,0
12-Apr,GUATEMALA | Search,0,0,0,0,0,0
12-Apr,ZIMBABWE | Content (mobile),0,0,0,0,0,0
12-Apr,ANGUILLA| Content #,125693,59,6.32,0.11,0,0
12-Apr,STVINCENT| Search,0,0,0,0,0,0
12-Apr,MALAWI | Search,0,0,0,0,0,0
12-Apr,STKITTS| Content,5608,5,0.42,0.08,0,0
12-Apr,NEW ZEALAND| Content #,37538,56,14.87,0.27,3,3
12-Apr,BENIN | Search,0,0,0,0,0,0
12-Apr,SOLOMON ISLANDS | Search,0,0,0,0,0,0
12-Apr,DURBAN| Search,0,0,0,0,0,0
12-Apr,NAMIBIA | Search,0,0,0,0,0,0
12-Apr,THAILAND| Search,0,0,0,0,0,0
12-Apr,STLUCIA| Search,0,0,0,0,0,0
12-Apr,Chile-(Search),0,0,0,0,0,0
12-Apr,Keywords-For-Content,0,0,0,0,0,0
12-Apr,LESOTHO| (Sales) Content,0,0,0,0,0,0
12-Apr,Pre-Owned-Combination,0,0,0,0,0,0
12-Apr,KENYA| Search,0,0,0,0,0,0
12-Apr,MALTA| Content,288940,140,10.18,0.07,8,8
12-Apr,MEXICO | Search,0,0,0,0,0,0
12-Apr,TOGO | Search (for Germany),0,0,0,0,0,0
12-Apr,UGANDA| Search,2349,40,12.07,0.3,0,0
12-Apr,TURKS AND CAICOS ISLAND| Search,0,0,0,0,0,0
12-Apr,MAURITIUS| Search,0,0,0,0,0,0
12-Apr,ZIMBABWE | Search,0,0,0,0,0,0
12-Apr,COSTA RICA| Search,0,0,0,0,0,0
12-Apr,TURKMENISTAN| Search,0,0,0,0,0,0
12-Apr,VIRGIN ISLAND| Search,0,0,0,0,0,0
12-Apr,BARBADOS | Search,0,0,0,0,0,0
12-Apr,THAILAND| Content,999081,1233,68.08,0.06,12,11
12-Apr,BARBADOS| Search,0,0,0,0,0,0
12-Apr,BANGLADESH| Search,0,0,0,0,0,0
12-Apr,Test 1,0,0,0,0,0,0
12-Apr,BOLIVIA| Content #,2940148,4359,361.26,0.08,332,273
12-Apr,EGYPT| Search,0,0,0,0,0,0
12-Apr,PAKISTAN| Search,0,0,0,0,0,0
12-Apr,TUNISIA| Content,213281,556,28.85,0.05,6,5
12-Apr,SURINAME| Content,26542,60,3.83,0.06,1,1
12-Apr,ANTIGUA| Search,0,0,0,0,0,0
12-Apr,BRITISH VIRGIN ISLANDS| Content #,2536948,4265,259.25,0.06,104,92
12-Apr,TAJIKISTAN| Content,87452,169,15.29,0.09,2,2
12-Apr,SRI LANKA| Content,3687422,4619,356.74,0.08,141,121
12-Apr,SIERRA LEONE | Search,0,0,0,0,0,0
12-Apr,SOUTH KOREA| Search,0,0,0,0,0,0
12-Apr,SINGAPORE| Search,0,0,0,0,0,0
12-Apr,MALTA| Search,0,0,0,0,0,0
12-Apr,Hong Kong| Content,0,0,0,0,0,0
12-Apr,KENYA| Search (Signups),0,0,0,0,0,0
12-Apr,DENMARK| Content,876,1,0.15,0.15,0,0
12-Apr,LESOTHO | Search,0,0,0,0,0,0
12-Apr,BOLIVIA| Search,0,0,0,0,0,0
12-Apr,RUSSIA | Search,0,0,0,0,0,0
12-Apr,TRINIDAD| Content,172776,168,8.13,0.05,0,0
12-Apr,RUSSIA| Search,0,0,0,0,0,0
12-Apr,GEORGIA | Search,0,0,0,0,0,0
12-Apr,EGYPT| Content,207778,414,30.41,0.07,29,20
12-Apr,STVINCENT| Content,31956,81,7.8,0.1,7,6
12-Apr,PARAGUAY| Search,0,0,0,0,0,0
12-Apr,BURUNDI-Search,0,0,0,0,0,0
