Date,Country Specific Keywords,Impression,Clicks,Cost,Avg.CPC,Conversion,View Through Conversion
12-Jan,ANTIGUA | Search,0,0,0,0,0,0
12-Jan,CONGO| Content (Mark) Account 8,0,0,0,0,0,0
12-Jan,CONGO| Content,0,0,0,0,0,0
12-Jan,Hong Kong| Search,0,0,0,0,0,0
12-Jan,EGYPT | Search,0,0,0,0,0,0
12-Jan,BRITISH VIRGIN ISLANDS | Search,0,0,0,0,0,0
12-Jan,ANGUILLA | Search,0,0,0,0,0,0
12-Jan,MALTA | Search,0,0,0,0,0,0
12-Jan,NORWAY| Content,0,0,0,0,0,0
12-Jan,STVINCENT| Search,0,0,0,0,0,0
12-Jan,CONGO-Search,0,0,0,0,0,0
12-Jan,TAJIKISTAN| Search,0,0,0,0,0,0
12-Jan,GHANA | Search,0,0,0,0,0,0
12-Jan,KIRIBATI | Search,0,0,0,0,0,0
12-Jan,BOTSWANA | Search,0,0,0,0,0,0
12-Jan,CONGO| Search,0,0,0,0,0,0
12-Jan,TAJIKISTAN| Content,0,0,0,0,0,0
12-Jan,UGANDA | Search,0,0,0,0,0,0
12-Jan,FRANCE| Search,0,0,0,0,0,0
12-Jan,TURKS AND CAICOS ISLANDS | Search,0,0,0,0,0,0
12-Jan,PAPUA NEW GUINEA | Search,0,0,0,0,0,0
12-Jan,ENGLAND| Content #,0,0,0,0,0,0
12-Jan,Hong Kong| Content,0,0,0,0,0,0
12-Jan,NIGERIA | Search (for Germany),0,0,0,0,0,0
12-Jan,STKITTS | Search,0,0,0,0,0,0
12-Jan,FIJI | Search,0,0,0,0,0,0
12-Jan,UAE-Search,0,0,0,0,0,0
12-Jan,SOUTH KOREA| Search,0,0,0,0,0,0
12-Jan,DURBAN| Search,0,0,0,0,0,0
12-Jan,GHANA | Search (for Germany),0,0,0,0,0,0
12-Jan,FINLAND| Content #,0,0,0,0,0,0
12-Jan,UAE | Search,0,0,0,0,0,0
12-Jan,IRELAND| Search,0,0,0,0,0,0
12-Jan,uploading groups,0,0,0,0,0,0
12-Jan,BURUNDI-Search,0,0,0,0,0,0
12-Jan,TONGA | Search,0,0,0,0,0,0
12-Jan,DJIBOUTI| Search,0,0,0,0,0,0
12-Jan,EGYPT| Content,0,0,0,0,0,0
12-Jan,SOLOMON ISLANDS | Search,0,0,0,0,0,0
12-Jan,CAMEROON| Content #,0,0,0,0,0,0
12-Jan,MADAGASCAR| Content,0,0,0,0,0,0
12-Jan,ANGUILLA| Content #,0,0,0,0,0,0
12-Jan,JAMAICA| Search,0,0,0,0,0,0
12-Jan,GHANA| Search,0,0,0,0,0,0
12-Jan,PERU| Search,0,0,0,0,0,0
12-Jan,BAHRAIN| Content #,0,0,0,0,0,0
12-Jan,LIBYA| Content,0,0,0,0,0,0
12-Jan,GUATEMALA| Search,0,0,0,0,0,0
